PM
firstName3;lastName3;middleName3;18;63000.0;3;PM
firstName6;lastName6;middleName6;18;55000.0;6;PM
firstName5;lastName5;middleName5;18;70000.0;5;PM
firstName4;lastName4;middleName4;18;69000.0;4;PM
firstName2;lastName2;middleName2;18;65000.0;2;PM
firstName1;lastName1;middleName1;18;60000.0;1;PM
TESTER
firstName6;lastName6;middleName6;18;55000.0;6;TESTER
firstName5;lastName5;middleName5;18;70000.0;5;TESTER
firstName4;lastName4;middleName4;18;69000.0;4;TESTER
firstName3;lastName3;middleName3;18;63000.0;3;TESTER
firstName2;lastName2;middleName2;18;65000.0;2;TESTER
firstName1;lastName1;middleName1;18;60000.0;1;TESTER
ANALYST
firstName6;lastName6;middleName6;18;55000.0;6;ANALYST
firstName5;lastName5;middleName5;18;70000.0;5;ANALYST
firstName4;lastName4;middleName4;18;69000.0;4;ANALYST
firstName3;lastName3;middleName3;18;63000.0;3;ANALYST
firstName2;lastName2;middleName2;18;65000.0;2;ANALYST
firstName1;lastName1;middleName1;18;60000.0;1;ANALYST
PROGRAMMER
firstName6;lastName6;middleName6;18;55000.0;6;PROGRAMMER
firstName5;lastName5;middleName5;18;70000.0;5;PROGRAMMER
firstName4;lastName4;middleName4;18;69000.0;4;PROGRAMMER
firstName3;lastName3;middleName3;18;63000.0;3;PROGRAMMER
firstName2;lastName2;middleName2;18;65000.0;2;PROGRAMMER
firstName1;lastName1;middleName1;18;60000.0;1;PROGRAMMER
